quarter,UNEMP,GDP,RGDP
2000Q1,26.7,990361.525,2787519.4384
2000Q2,26.7,1032595.0279,2813164.3603
2000Q3,23.3,1081134.4198,2841025.7795
2000Q4,23.3,1108461.1615,2865201.621
2001Q1,24.6,1131273.5552,2882808.6244
2001Q2,24.6,1150494.8984,2897214.1463
2001Q3,26.2,1171774.7225,2904913.4333
2001Q4,26.2,1210219.1154,2927261.5977
2002Q1,27.7,1291400.3974,2959051.9229
2002Q2,27.7,1341915.9993,2996598.125
2002Q3,26.6,1385115.8506,3030514.5064
2002Q4,26.6,1424284.8531,3055728.0425
2003Q1,29.3,1451482.0302,3075124.6524
2003Q2,29.3,1476733.9268,3090142.6226
2003Q3,28.4,1500519.4098,3106912.5359
2003Q4,28.4,1532860.7161,3124837.2862
2004Q1,26.4,1588711.9813,3172140.4988
2004Q2,26.4,1631115.2244,3216469.5738
2004Q3,23.0,1670385.058,3269062.6454
2004Q4,23.0,1719524.1233,3303973.9495
2005Q1,24.2,1757470.9211,3337562.1402
2005Q2,24.2,1813626.426,3397456.4942
2005Q3,23.5,1861588.184,3443784.8409
2005Q4,23.5,1915319.9999,3466836.0235
2006Q1,23.1,1944392.4952,3527754.1717
2006Q2,23.1,2024496.5507,3577856.8754
2006Q3,22.1,2105253.3958,3627272.5521
2006Q4,22.1,2156233.2193,3677431.1271
2007Q1,23.6,2269504.7184,3737140.5468
2007Q2,23.6,2306389.9439,3767768.5809
2007Q3,21.0,2361199.3705,3811924.3865
2007Q4,21.0,2449505.4393,3865942.3941
2008Q1,23.2,2538737.0439,3882179.5559
2008Q2,22.6,2586114.3391,3929576.5869
2008Q3,22.8,2660540.9627,3938965.6558
2008Q4,21.5,2661131.0417,3916543.152
2009Q1,23.0,2729103.198,3855619.6549
2009Q2,23.2,2762472.4678,3842386.7298
2009Q3,24.5,2829766.1444,3851297.5012
2009Q4,24.1,2855571.762,3876984.5648
2010Q1,25.1,2943619.5051,3922218.3094
2010Q2,25.1,3053461.0186,3955141.8797
2010Q3,25.4,3079010.3523,3990352.3843
2010Q4,23.9,3146361.9323,4027493.8398
2011Q1,24.8,3215571.7421,4067156.6673
2011Q2,25.6,3291018.1557,4089919.3846
2011Q3,25.0,3368144.8694,4106842.2897
2011Q4,23.8,3433453.2379,4134936.6325
2012Q1,25.0,3477531.7214,4158375.2419
2012Q2,24.8,3549080.3806,4193086.5939
2012Q3,25.2,3591831.6158,4210133.9406
2012Q4,24.5,3647096.359,4230213.8713
2013Q1,25.0,3756342.8137,4263041.3765
2013Q2,25.3,3835957.232,4294049.8265
2013Q3,24.5,3902107.7714,4314423.358
2013Q4,24.1,3980113.075,4337650.1437
2014Q1,25.2,4049892.8386,4331667.0081
2014Q2,25.5,4089584.3454,4348762.651
2014Q3,25.4,4168358.3519,4369661.9022
2014Q4,24.3,4227656.6289,4402380.866
2015Q1,26.4,4323862.8198,4434181.5602
2015Q2,25.0,4386084.8635,4396745.4224
2015Q3,25.5,4443679.2673,4416549.4194
2015Q4,24.5,4529543.1591,4435693.6677
2016Q1,26.7,4655311.6995,4446288.9766
2016Q2,26.6,4752506.2911,4450566.9225
2016Q3,27.1,4797444.9674,4450024.7054
2016Q4,26.5,4832955.2489,4453803.3799
2017Q1,27.7,4948708.6766,4474830.9304
2017Q2,27.7,5030498.774,4499232.3136
2017Q3,27.7,5130848.1606,4507506.221
2017Q4,26.7,5202704.0949,4525236.997
2018Q1,26.7,5209972.8564,4544227.5684
2018Q2,27.2,5282642.2145,4534721.4516
2018Q3,27.5,5416352.5221,4592888.8564
2018Q4,27.1,5485467.7403,4609091.4921
2019Q1,27.6,5463235.4921,4567336.0647
2019Q2,29.0,5586407.1309,4585983.7638
2019Q3,29.1,5674280.6998,4592335.6191
2019Q4,29.1,5730737.0204,4590747.9924
2020Q1,30.1,5825231.9959,4590779.9292
2020Q2,23.3,4830865.5976,3806023.5898
2020Q3,30.8,5626072.346,4329921.4941
2020Q4,32.5,5945494.3699,4446697.329
2021Q1,32.6,6046793.5585,4483290.2824
2021Q2,34.4,6248469.0437,4545514.4279
2021Q3,34.9,6187412.4828,4463618.9593
2021Q4,35.3,6287313.9229,4524743.9158
2022Q1,34.5,6443209.5897,4596768.7633
2022Q2,33.9,6615229.6199,4560193.5367
2022Q3,32.9,6776928.1341,4643171.3876
2022Q4,32.7,6718015.2522,4585000.0277
